gameIndex,stage,redIndex,blueIndex,redId,outcome,blueId,winner,round,redScore,blueScore,redP,redA,redC,blueP,blueA,blueC,redPokes,bluePokes,redKillByP,redKillByA,redKillByC,blueKillByP,blueKillByA,blueKillByC,redVictimP,redVictimA,redVictimC,blueVictimP,blueVictimA,blueVictimC
45570,stage2_elite,0,98,REACHR27_HL_G02,elimination,REACHR21_PH_L16,R,4,1.4210526315789471,-0.4210526315789473,0,0,2,0,2,0,1,0,1,1,2,0,2,0,1,2,1,0,1,1
45571,stage2_elite,98,0,REACHR21_PH_L16,elimination,REACHR27_HL_G02,B,6,-0.3684210526315789,1.368421052631579,0,3,0,0,0,3,0,0,0,3,0,0,1,5,1,1,1,1,4,1
47922,stage2_elite,0,196,REACHR27_HL_G02,draw,REACHR27_PH_L21,,20,0.0,0.0,0,0,10,0,10,0,0,1,0,2,9,2,9,0,1,9,1,0,1,10
47923,stage2_elite,196,0,REACHR27_PH_L21,elimination,REACHR27_HL_G02,B,7,-0.3421052631578947,1.3421052631578947,0,4,0,0,0,4,1,1,1,2,1,1,1,4,0,1,3,1,4,1
49288,stage2_elite,23,228,REACHR29_HL_G10,draw,REACHR29_PH_L10,,20,0.0,0.0,0,0,10,0,10,0,1,10,1,0,10,10,0,1,0,10,1,0,1,10
50274,stage2_elite,0,245,REACHR27_HL_G02,elimination,REACHR10_PH_G08,R,6,1.368421052631579,-0.3684210526315789,0,0,3,0,3,0,1,0,1,1,3,0,1,2,1,3,1,0,1,2
50275,stage2_elite,245,0,REACHR10_PH_G08,elimination,REACHR27_HL_G02,B,15,-0.131578947368421,1.131578947368421,0,8,0,0,0,8,1,2,1,6,1,2,0,8,0,1,7,1,8,1
52626,stage2_elite,49,98,REACHR24_PL_G10,elimination,REACHR21_PH_L16,B,9,-0.2894736842105263,1.2894736842105263,4,1,0,0,5,0,0,0,0,2,1,0,7,0,0,2,1,4,2,1
52627,stage2_elite,98,49,REACHR21_PH_L16,elimination,REACHR24_PL_G10,R,10,1.263157894736842,-0.2631578947368421,0,5,0,4,1,0,0,1,0,6,1,1,1,0,4,2,1,0,1,1
54978,stage2_elite,49,147,REACHR24_PL_G10,elimination,REACHR19_HH_L08,B,11,-0.2368421052631578,1.236842105263158,1,4,1,0,4,2,0,1,0,3,2,1,6,1,0,3,2,1,5,2
54979,stage2_elite,147,49,REACHR19_HH_L08,elimination,REACHR24_PL_G10,R,10,1.263157894736842,-0.2631578947368421,0,5,0,2,3,0,0,1,0,6,1,1,0,1,2,4,1,0,1,1
57330,stage2_elite,49,245,REACHR24_PL_G10,elimination,REACHR10_PH_G08,B,11,-0.2368421052631578,1.236842105263158,5,1,0,0,6,0,1,0,1,2,1,1,7,0,0,3,1,5,2,1
57331,stage2_elite,245,49,REACHR10_PH_G08,elimination,REACHR24_PL_G10,R,10,1.263157894736842,-0.2631578947368421,0,5,0,4,1,0,0,1,0,6,1,1,2,0,4,2,1,0,2,1
59682,stage2_elite,98,147,REACHR21_PH_L16,draw,REACHR19_HH_L08,,20,0.0,0.0,0,10,0,0,2,8,0,0,0,10,1,0,3,7,0,3,8,1,8,1
